,name,category_1,category_2,origin,description
498,Sentasto Sepino Swestoine Estate Chardonnay 2012,White Wine,Chardonnay,"Napa Valley, California","This wine is a brilliant, pale yellow-green color.  On the nose, aromas of pineapple, citrus, and honeydew are very attractive.  The mouth feel is soft and juicy, with flavors of ripe pear, peach, and sweet toast.  The mouthfeel is balanced with good acidity, good mineral tones, and a good mouth-coating sensation."
499,Greeadon Syrah 2016,Red Wine,Syrah/Shiraz,"Yamhill-Carlton District, Willamette Valley, Oregon","The 2016 Greeadon Syrah offers intense aromas of cherry, plum, and floral tones. The aromas are balanced by vanilla, cocoa, and spice notes. The flavors mirror aromas with a hint of nutmeg. The mouth feel is soft, round, and silky, with soft, round tannins, good acidity, and a lingering finish."
500,Albin Red Roye 2008,Red Wine,Other Red Blends,Chile,"Red Roye is a wine of excellent concentration and richness. Its dark red color is intense and expressive. The nose offers attractive aromas of ripe fruit with hints of blackberry and plum. The mouthfeel is full and well-rounded with fresh acidity and soft, ripe tannins. The finish is long and pleasant, with lingering flavors of ripe fruit. The wine can be drunk young but will cellar well for the next 2-3 years. It is an excellent accompaniment to grilled and roasted red meats, sausages, veal, and pasta dishes prepared with light sauces."
503,Redgoals Santa BarutE Rembonna 2018,Red Wine,Other Red Blends,Spain,"Rembonna is a bright and fruity wine with great acidity. Aged in oak barrels. The aromas of ripe fruits, such as raspberry and cherries, together with spicy aromas. Well-balanced, fresh and fruity on the palate. The finish is long with fine tannins and sweet and fresh flavors."
505,Fyphullerlo Horico Shiraz 2003,Red Wine,Syrah/Shiraz,Australia,"The wine displays ripe, rich plum and blackberry flavours with an attractive soft, silky texture and a pleasing touch of spicy oak on the finish.  The wine is aged in American oak for 15 months before being pressed and racked into American oak for a second year of maturation.  The wine is then bottled and held for 2 months prior to bottling.  The resulting wine is well-balanced, medium-bodied, with soft tannins and good acidity.  The finish is long with fine grained tannins, which will soften over time."
507,Barnor Carnettole Vineyard Litha Gulenina Latiomel's Preracian 2009,Red Wine,Other Red Blends,Argentina,"The color is a deep red with violet tinges. The nose offers aromas of fresh cherries, spices, and violet. The palate is round, fruity, and well-balanced with a pleasant acidity. It is very well-rounded, well-structured and a lingering finish."
508,Benutner Amatione Conme Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,"Mendoza, Argentina","Aromas of red fruits, blackberries, currants and ripe cherries. On the palate, the wine is round and soft with balanced acidity and round tannins. Pair with red meats, game, roasted vegetables and cheese."
509,Travicco Napa Fraerie Nieri 2007,White Wine,Other White Blends,"Napa Valley, California","In the glass, this wine opens with aromas of citrus, melon, and peach. Flavors mirror aromas with ripe fruit flavors of tropical fruits and lychee. The mouthfeel is full and round with well-balanced acidity. The finish is long and juicy with flavors of lemon zest and mineral flavors."
510,Pinero dela Criassiole 2015,Red Wine,Other Red Blends,"Sicily, Italy","+--- Aged for 2 years in wood and 1 in bottle.  This wine RCMP, Toscana.  This wine is made from Merlot, Cabernet Sauvignon, Cabernet Franc, Syrah, and Malbec.  with a slight and intense cherry aroma.  Medium-bodied, with fresh and fruity flavors, this wine offers smooth tannins, good acidity and a long and lingering finish.  This wine is an excellent pairing with fish, chicken, and pasta dishes with red sauces.  Serve at a temperature of 64-68 degrees F."
511,Vina Pridota Castolo Rose 2015,Pink and Rosé,Rosé,Italy,"Pale pink. Intense and persistent aromas of raspberries and strawberries. A well-rounded, well-balanced, well-structured wine with good acidity and a long, fresh finish.   , it is very elegant and well-balanced.  On the palate, it is dry, crisp, dry and dryer than most Rosés, and with the typical taste of the Rosé, but still with the complexity of the sweet wine."
512,Ol Forasezo Baroja Randha 2012,Red Wine,Other Red Blends,"Baroja, Spain","Deep red color with violet highlights. Delicate, intense and complex aromas. Intensely aromatic with notes of red fruit, such as cherry, raspberry and red currants, and with spices, black pepper, pepper and spices with floral tones. The wine is fresh and pleasant on the palate with well-balanced, ripe tannins and fresh acidity. An excellent match for roasted meat, especially those that are lightly grilled and rich in spices, game and traditional Spanish cheese."
513,Touja Tulenriet Duilli Bantassico Fressonett 2001,Red Wine,Other Red Blends,"Bantin, France","The Bantassico Fresson investigation is a blend of 60% Cabernet Sauvignon, 30% Merlot and 20% Cabernet Franc.  These three grapes are grown on the estate of Bantin in the appellation of the town of Boulmaux, in the Côte de Nuits.  The wine is produced in a dry, medium-bodied style.  The blend is the first impression of the wine, with the wine in the final being a wine with great finesse and balance.  The name Bantassico Fressonett, meaning grainyard plots of great character, reflects the unique characteristics of this terroir.  The vineyards are planted in a very well-drained soil of clay and limestone, with a total of approximately 1.5 hectares.  The vines average 50 years old, and the vines are not hand-harvested.  The grapes are vinified by the Bouzy family."
514,Ferma Ofcis Reserva 2018,Red Wine,Tempranillo,"Ribera del Duero, Spain Leninist, white flowers and ripe fruit aromas, round with a pleasant mouthfeel and ripe flavors of ripe cherries and ripe strawberries. Serve well chilled.   mineral, tobacco, vanilla and spices, very well integrated, spicy with ripe flavors of black pepper, blackberries, currants and strawberries, round and fresh with nice weight.",
516,Ranmione Chardonnay 2013,White Wine,Chardonnay,"Central Coast, California","The 2013 Central Coast Chardonnay is a light straw color with golden hues. Aromas of pear, tangerine and lemon blossom are followed by flavors of melon, peach, and citrus zest. The mouthfeel is rich and round with flavors of tangerine, green apple, and pineapple balanced by a slight sweetness. A touch of minerality adds complexity. The wine is well-balanced with bright acidity and a lingering finish."
517,String Lablenl Cabernet Sauvignon 2007,Red Wine,Cabernet Sauvignon,"Central Coast, California","This wine is a rich, full-bodied wine with flavors of black cherry, cassis and currant.  It has a velvety mouthfeel with balanced tannins and a long, smooth finish.  of   The  wine is delicious with grilled or roasted poultry, lamb, and game birds."
518,Santas Luvas Natcitaro 1996,Red Wine,Other Red Blends,Spain,"In the bottle: bright, brilliant red with a violet tint.  Nose: very fresh and fruity, with aromas of cherry, raspberry and blackberry, mixed with hints of vanilla, black pepper, tobacco and chocolate.  Palate: well-balanced, supple and medium bodied.  Flavors mirror aromas with flavors of cherry and plum, accompanied by slight oak notes.  Overall: harmonious and well-structured, with silky tannins and a pleasant, lingering finish."
520,Bamld Delrelle Samignano 2018,Red Wine,Other Red Blends,"Sicily, Italy","The Delrelle Samignano is a wine with excellent aromas of blackberries and strawberries, and cherries, with touches of minerals, leather, coffee, and tobacco. It is very well-balanced and well-balanced in the mouth. The flavor is very pleasant and pleasant to drink."
521,Capa Vin Malbocia Willagre Boimifialo Bariela Red 2015,Red Wine,Other Red Blends,"Piedmont, Italy","This wine has a deep red color with violet tones. It offers a pleasant bouquet of red fruit, particularly cherries and plums, with notes of licorice, vanilla, spices and tobacco. On the palate, it is dry, medium bodied, fresh and well-balanced. The finish is persistent, with lingering flavors of ripe fruit and spices."
523,Indinana Pinoto (375ML half-bottla) 1999,Red Wine,Pinot Noir,Chile,"Rich, smooth, with ripe, full flavors of cherry and plum, and a hint of oak.  Intense ruby color, with red highlights.  This wine is well-balanced with pleasant tannins, soft acidity and long finish.  Ideal with grilled or lightly smoked foods.   Serve at a temperature of 16 degrees Fahrenheit."
524,Camena Carmr Pedivarre Cabernetbe Merlot 2014,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Pairs well with grilled steak, roasted lamb chop, grilled ribeye or roasted chicken and roasted vegetables.   , grilled steamed and lightly grilled meats. Try also serving this wine at room temperature. Serve at about 57 degrees F.  Serve well chilled. Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  brief contact with oak, lightly toast and lightly toast with fresh strawberries and cherries. Serve well chilled. Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled.  Serve well chilled"
525,Groiis Filg/Cenzass Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Alexander Valley, Sonoma County, California","The 2014 vintage was an excellent growing season and 2014 is a classic vintage for the Alexander Valley. The 2014 Groiis Filg/Cenzass Alexander Valley Cabernet Sauvignon shows wonderful aromas of black cherry, dark chocolate and toasted oak with flavors of red fruits, roasted coffee and vanilla. This is a classic, well-rounded wine with a long, silky finish."
526,Auvbalciano Cabernet Sauvignon 2008,Red Wine,Cabernet Sauvignon,"Central Coast, California","A very elegant wine, with aromas of cassis, cedar, tobacco, and caramel.  On the palate, the wine is full-bodied with sweet, ripe fruit flavors of blackberries, cherries and blackberries with hints of black pepper, leather, and sweet caramel.  The finish is long, lingering and juicy with good acidity and good tannin."
527,Grardoneto Merlot 2017,Red Wine,Merlot,"Columbia Valley, Washington","Fresh aromas of black cherries, dried plums and spice; with delicate floral notes of violets and jasmine. The flavors mirror aromas with raspberry, black cherry, blackberries, blueberries and plum; balanced by notes of spice, toast and toast. A mouth-coating, well-rounded mouthfeel with round tannins that linger on the finish."
528,Donainas' Liano Pistlagu Reserve Losas Valley Chardonnay 2017,White Wine,Chardonnay,"Casablanca Valley, Chile","The 2017 Liano Pistlagu Reserve is a equilibrated wine with a brilliant and golden-yellow color. Aromas are complex with white fruit, citrus and floral notesInternet-like with a hint of toasty tones. The mouthfeel is fresh and refreshing, with nice and well-integrated acidity."
529,Laco IsyeL Onesina Cabernet Sauvignon 2006,Red Wine,Cabernet Sauvignon,Chile,"This is a well-rounded wine, with ripe and spicy fruit flavors and a hint of mint. The mouthfeel is round, soft and generous with ripe, well-balanced tannins, giving the wine a lingering finish.  The wine is ready to drink now and will cellar well for 4-5 years.    Serve well-chilled at a temperature of 40-50°F.   Serve with grilled and roasted meats and vegetables, especially those with peppers, as well as aged cheeses."
530,Bode Eventanetary Heeding Hill Chardonnay (half-bottle) - Martontavolter Blanc 2002,White Wine,Chardonnay,"Willamette Valley, Oregon","The wine is crisp and fresh with flavors of ripe pear, citrus and tropical fruits.  The mouthfeel is full and creamy with well-balanced acidity.  The finish is long, refreshingodies with lingering mineral tones and lingering mineral-like aromas."
531,Myrls Chamateau Chardonnay 2013,White Wine,Chardonnay,"Willamette Valley, Oregon","This wine exhibits a light golden color with a hint of green, and a hint of tints of orange. The aromas include fresh apple, citrus, and tropical fruits. The palate offers flavors of grapefruit and tropical fruits with a touch of oak, citrus, and a hint of sweet almond. The mouthfeel is round and medium bodied with well-balanced acidity and a nice, creamy texture. The finish is long and pleasant, with good acidity and a touch of mineral and toastiness. The mouthfeel is round and medium bodied with well-balanced acidity and a nice, creamy texture. The flavors of grapefruit and tropical fruits are followed by a touch of oak and butter from barrel toast aging. The wine is well-balanced, and has great length of flavor. Enjoy this wine with grilled fish, shellfish in cream sauces, shellfish in cream sauce, and rich white meat dishes."
533,Mouneuistal Trokhe Granno Winery Rougee 175 Margiona 2007,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The color is a medium ruby, with violet hues.  The nose offers bright aromas of strawberries, cherries and red currants.  The mouthfeel is medium bodied, with fresh acidity and medium tannins.  The finish is long, lingering with hints of earthiness."
534,Zonte Cles Winetta Monte Syrah 2011,Red Wine,Syrah/Shiraz,"Chile Giles Anderson The Anderson Valley is an appellation in the North of Chile. Located in the Colchagua Valley, the area is characterized by its deep soil, with soils that are deep and diverse, which allows relativizing the influences",
535,Scitap's,Red Wine,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy","Complex, fruity, well-balanced and velvety, with a pleasant, pleasing finish.  A well-integrated, well-balanced and elegant wine, with round, harmonious and soft tannins quickened by a touch of acidity.  Very well-balanced, velvety, round, well-integrated and persistent on the palate."
536,Sino enders Semper Cabernet Sauvignon 2005,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Our 2005 vintage of Semper Cabernet Sauvignon is a medium-bodied wine with juicy aromas of black cherries, licorice and vanilla. Flavors mirror aromas with a touch of mineral and toast, followed by flavors of black cherries and currants. The wine is well-balanced with sweet, round tannins, balanced acidity, and a touch of pepper on the finish."
537,Schelliaum Syrah 2007,Red Wine,Syrah/Shiraz,"Central Coast, California","Richbarely extracted, this wine is full of rich, round flavors of blackberry, blueberry and black cherry with hints of pepper and minerals. The mouth feel is plush, sweet and round with a long finish.  This is a wine of finesse and intensity, with soft, supple tannins and lively acidity.  The 2007 Syrah is a great companion to grilled or grilled fish, grilled vegetables, roasted poultry and roasted vegetables with cream sauces."
538,Bogepey Napa Valley Cabernet Sauvignon 1997,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 1997 vintage produced a wine with great depth of color and intensity.  The nose opens with bright aromas of cherry, currant, mint, mint and an intriguing hint of vanilla.  The mouthfeel is soft and round, with silky, round tannins that provide balance and length on the finish.  The mouthfeel is rich and smooth, with a lingering impression of vanilla and toastiness.  The complexity of flavors in this wine makes it a perfect match for grilled foods, particularly roasted poultry and roasted vegetables."
539,Fayne Romacura Santa Branco De Charfonnan Syrah 1993,Red Wine,Syrah/Shiraz,Chile,"The wine is very versatile and pairs well with dishes such as pork, poultry, game birds, grilled vegetables Charlestonés, and pasta dishes with rich sauces.    , Peter Christopher Anderson Valley Pinot Noir (half-bottle) 2000 [response] This wine will drink well now and for the next 2- 3 years.  It will also improve in the cellar for 2- 3 years."
540,Pene Cabernet Sauvignon 2018,Red Wine,Cabernet Sauvignon,California,"Deep garnet in color, with aromas of cherry, violet, and plum with a hint of vanilla. Flavors mirror aromas with flavors of cherry, blackberry, and a hint of spice. The mouthfeel is soft and round with silky tannins and well-integrated oak. The wine finishes with bright acidity and lingering flavors of caramel, chocolate, and a touch of pepper."
541,Rynenane Chardonnay 2006,White Wine,Chardonnay,Australia,"This wine displays a light straw in color with a green tinge. The nose is inviting with lifted citrus and tropical fruit characters with subtle toasty oak characters. The palate is generous with richly textured, sweet and savory HITches. The finish is fresh and vibrant with lingering flavours of lime, tangerine, grapefruit, and nectarine."
542,Flander Gwoak Ontera Santo Tery Estate Shuti 2013,Red Wine,Other Red Blends,Chile,"Santo Tery Estate shuti is a fresh, fruity, well-balanced wine with a slight mineral note. It is very versatile with food.  Serve well chilled on warm days, in summer, or at the beginning of the mealsomething between 60 and 64 degrees Fahrenheit."
543,Domaine Dwogt-de Gelains Gewindgeix Vineyard Myroma Valley Merlot 2005,Red Wine,Merlot,"Willamette Valley, Oregon","This is a very approachable, food friendly wine. The nose is fresh with rich aromas of red fruits, cherry and raspberry with a hintuders toastiness. The mouthfeel is soft and round with good acidity, yet very well-balanced with a long finish. It is an easy-drinking wine that will continue to improve over the next few years. We recommend this wine to be served with roasted and grilled red meats, poultry and cheeses."
544,Wilrachs Shirattiore Reserva Cabernet Sauvignon (half-bottle) 1987,Red Wine,Cabernet Sauvignon,Chile,"This wine has a deep, intense ruby-red color.  The nose offers intense ripe fruit aromas of blackberries, cherries and spices.  The mouthfeel is full and round with well-balanced acidity.  The wine is well-balanced with good intensity and a good concentration of flavors."
545,Wepalle Estate Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,"Napa Valley, California","This wine offers aromas of black cherry, currants, and toasted oak. The palate is medium-bodied with flavors of dark fruit, and caramel. The mid-palate is smooth and soft with lingering flavors of sweet spice, vanilla and vanilla. Thearu"
547,Casta des Papol Chevoz Blacc Boucofiel Resto 2011,Red Wine,Other Red Blends,Spain,"Cherry red in color, with intense, ripe red fruit aromas, anise, spices and mineral notes. Fresh and well-rounded in the mouth, with pleasant, sweet tannins. Very long and pleasant finish.    acidity  is  moderate, with a good balance between acidity and alcohol."
548,Tewtinaito Roal Pepilaz 2002,Red Wine,Other Red Blends,Chile,"Roal Pepilaz is the second label of the estate, after the first one, and is produced from fruit harvested from the estate vineyards.  The name means little brother, as in the resemblance of the wine to the little brother of Pepiliz.  The name is a reference to the name of the family's founder, Pepiliz.  The wine is deep ruby red in color, with a floral nose.  On the palate it is a wine with soft, sweet tannins.  This wine is a good companion for Mediterranean foods, grilled fish and pasta with roasted tomatoes, peppers and roasted vegetables.  Serve at room temperature.   Serve well-chilled at 16-18 degrees C.  Serve well-chilled at 16-18 degrees C."
549,Thobers,Red Wine,Other Red Blends,"Napa Valley, California","From Napa Valley's most prestigious vineyards, Thobers has created a wine that is rich and powerful yet approachable, and will pair well with grilled steak and roasted vegetables, veal chops, or roasted eggplant in a cream sauce."
550,Santa Calferate Classice Zinfandel 2017,Red Wine,Zinfandel,"Paso Robles, Central Coast, California WINEMAKERING SUGGESTED FOOD PAIRINGS: This wine will pair well with many foods including roasted vegetables, Mediterranean foods, and lighter meats. Serve at room temperature. Serve well chilled. Serve at room temperature.  Serve well chilled.  Serve well chilled.  Serve at room temperature.  Serve at room temperature.  Serve well chilled.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at",
551,Puprawnett Bland (375ML hall-bottlo) 2011,White Wine,Other White Blends,"Sicily, Italy","The wine is a blend of 55% Pieda, 40% compassionate, 10% Grenache, 10% Gewurztraminer, 10% Marsanne and 5% Tre Vigne grapes. It is light-bodied and medium-bodied, with ripe pear and peach flavors with a hint of minerality.  This is a very versatile wine, a perfect wine for light pasta dishes and rice dishes.  Serve at about 64ºF and allow to warm in the glass for optimal enjoyment of aromas and flavors."
552,Prima Emannes Pay Wine Hro Casa Hilts Shiraz 2007,Red Wine,Syrah/Shiraz,"Victoria, Australia","The 2007 vintage of Hro Casa Hiltts is an excellent match for all red meats. The wine is also a great companion to a wide variety of grilled fish, including those fish cooked with white sauces. Serve with a salad of fresh-picked cherries and toasted almond crust, a simple Mediterranean dish of roasted vegetables, or a meat-based pasta with roasted vegetables and roasted peppers."
553,Mentz White Pinot Noir 2014,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Vibrant aromas of black cherries, strawberries and raspberry jam with sweet floral tones.  The mouthfeel is medium-bodied with bright acidity and supple tannins.  The finish is long and lively with lingering flavors of dark fruit and spice."
555,DeTen Binerard Flares Wines Cabernet Saavignon 2000,Red Wine,Cabernet Sauvignon,Chile,"Flares wines are produced by a selection of the finest vineyards in the Maipo Valley.  The grapes for Flares wines are grown in the Maipo Valley appellation, located on the Pacific Coast.  The region's warm days and cool nights provide ideal conditions for growing premium Cabernet Sauvignon grapes.  The resulting wine is complex and concentrated with ripe, round tannins, hints of oak and a hint of spicy fruit.  The winemakers say Flares wines are rich and powerful with flavor and depth, yet light and balanced with elegance, making them an excellent accompaniment to grilled foods, and also to lighter pasta dishes, poultry and lighter cheeses."
556,Jaim Peapulo Dareno Napa Red 2015,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The 2015 Peapulo Dareno has aromas of plum, violet, nutmeg, and rolling herbs. The palate opens with ripe flavors of cherry, raspberry, and sweet vanilla. The mouthfeel is round and soft, and the finish is round anddesignated by bright acidity."
558,Tordantons Pinot Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2015 Pinot Noir Tordantons Vineyard Pinot Noir is a deep, dark garnet color in the glass. Aromas include blackberries, cherries, blackberries, and earthiness. The mouth feel is soft, round and velvety. The palate is rich with flavors of ripe berries, pomegranates and cherries. The mouth feel is rich and mouth-coating with medium tannins. This is a well-balanced wine with a lingering finish."
560,Santo Estate Sauvignon Blanc 2001,White Wine,Sauvignon Blanc,"Central Coast, California","The aromas of this wine are tropical and citrus with a slight green apple note.  The mouthfeel is full and soft with a medium-long, refreshing finish.   The flavors mirror aromas with tropical and lime-like characteristics.  The wine is well-balanced and easy to drink now and will cellar well for 2- 3 years."
561,Tor Gats Shand Leflo 2008,Red Wine,Other Red Blends,"Central Coast, California","The 2008 Tor Gats Shand Leflo is a blend of 80% Pinot Noir, 9% Carignane, 3% Syrah, 3% Viognier, 2% Grenache, 2% Mourvedre, 1% Alicante Bouschet and 2% Counoise. The wine has a beautiful garnet color and aromas of raspberry, spice, minerals, and earth. The flavors mirror aromas with vibrant acidity providing lift and vibrancy, and sweet oak lending depth and depth. The mouthfeel is medium to full-bodied with supple, round tannins providing balance and length. The wine has wonderful texture and a lingering finish. Enjoy now through 2014."
562,Frannon Mondontar 2016,Red Wine,Bordeaux Red Blends,"St. Helena, Napa Valley, California","This is a medium bodied wine with rich aromas of Forever Blackberry, black cherry, and cocoa. The aromas carry through to the mouth with flavors of blackberry, currant, and cherry and a hint of mineral undertones. The wine is medium bodied and well-balanced with a soft, sweet tannin structure. The mouth feel is round and silky with good body and structure, good length, and a lingering atroc																																																																	 Changing"
563,Seman Cabernet Sauvignon 2018,Red Wine,Cabernet Sauvignon,"Mendoza, Argentina","This wine has a deep ruby red color and intense aromas of blackberries, black cherries, and spices. On the palate, the wine is very well-balanced with rich tannins and an attractive acidity that is well-integrated and balanced with a very long finish."
564,Kon Windch Hery Vineyard Cabernet Sauvignonnio 2ran-Sauvignon Blano 2013,Red Wine,Cabernet Sauvignon,"Paso Robles, Central Coast, California","The 2013 Hery is a beautiful wine with a garnet color. It is a rich, lush wine with aromas of ripe cherry,291, and currant with undertones of orange peel and sweet spices. The flavors mirror aromas with flavors of plum, blueberry and a hint of anise. The mouthfeel is soft and round with good acidity, lingering well into the finish. This wine is well-balanced and is drinking well now. This wine is best paired with grilled beef tenderloin with roasted vegetables and herbs, roasted duck with vegetables and a squeeze of lemon."
565,Galbol Saluntingignon Rose 2018,Pink and Rosé,Rosé,Spain,"Gal Bol Salut Galalas Rosé 2018 [response] This Rosé has a vibrant pink color with pink tones. It has a vibrant nose, with floral aromas and strawberry notes, together with fresh acidity and minerality. It is fresh, full of flavor and juicy, with lively acidity and minerality on the finish. The wine is well-balanced, with a good body and a long and persistent aftertaste."
566,Vidagetta Nate Vhits Blet 2005,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Named for the three brothers who founded the winery, our  Nate Vhits Blet is a blend of fruit from the Estate vineyards in St. Helena, Calistoga and Napa Valley, and a touch of Cabernet Sauvignon from the Napa Valley vineyards in Napa Valley. The wine is rich and full of flavor, with aromas of black cherry, plum and cassis, with some black tea, toast and caramel. The mouth feel is soft and round, with the wine being juicy and mouthwatering with a touch of tannin and toasty oak. The overall impression is soft and smooth, with an excellent balance between fruit and acidity. The tannins are soft and well-integrated, providing structure and an interesting lingering finish. This is a full-bodied, well-balanced wine that will continue to improve and gain complexity over the next 3 to 5 years."
567,Kubfo Cellars Chardonnay 1998,White Wine,Chardonnay,Chile,"Clear, golden straw color.  Fresh, expressive and fruity aromas of pear, citrus, apple and peach, with a hint of toastiness.  The mouth is full and fruity, with balanced acidity and round, well-integrated tannins.  It has a long, round finish."
569,Saveritut Kentramino 2009,Red Wine,Other Red Blends,"Veneto, Italy","This wine is a wonderful accompaniment for Italian pasta dishes, roasted and grilled fish and meat in cream sauces, particularly grilled tuna and squid, as well as meat with grilled or lightly grilled vegetables, particularly veal, veal, vegetables and pasta with light sauces, especially grilled vegetables, peppers, and olives."
570,Rikoras Cannata Rabdson Valley Chardonnay 2015,White Wine,Chardonnay,"Cannata, Piedmont, Italy","The wine shows a pale straw-yellow color with greenish hues. It has aromas of fresh fruit and minerals with vanilla, caramel, and toast. The wine is soft and well-balanced on the palate with a long and fruity finish. The overall impression is fresh and fruity."
571,Spankingamd Chardonnay Vineyard Pinot Noir 2011,Red Wine,Pinot Noir,"Willamette Valley, Oregon","An intense nose with aromas of ripe fruit and spices. Flavors mirror aromas with notes of red cherries, blackberries, and brown sugar with a hint of toasty oak. This wine is well-balanced with a pleasant mouthfeel and bright acidity."
572,Antingh-Patringheblekt Smirezte 2002,Red Wine,Other Red Blends,Austria,"Smirezte, meaning dry, is a very clean, elegant wine, with a slight sweetness and subtle mineral nuances.  This wine is easy to drink and is a good match for red meats, and also with roasted and grilled foods.."
573,Frendint-Jiney Muirsain Rose d'Astestin Pinot Gris 1997,Pink and Rosé,Rosé,"Asti, Piedmont, Italy","A very delicate wine with aromas of citrus, herbs and a hint of vanilla.  The taste is medium-bodied, fresh, dry and fruity, with good acidity, pleasant aftertaste and mineral finish.  The excellent acidity makes it an excellent companion for light meals."
574,Jean Rockal's Preres Pinot Noir 2012,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2012 Preres is a beautifully balanced, complex wine. The aromas are a little more open, complex and fruity, showing red and black cherries, raspberries, blackberries, red plums and strawberries, along with a touch of spice. The palate is very generous and generous, with ripe fruit flavors of cherries, cherries, strawberries, strawberries, and raspberries, along with a touch of floral tones of violetSix, lavender, and lilac, as well as a little bit of mineral and earth. The mouthfeel is soft and generous with round and supple tannins and good acidity, which carries the flavors through the finish. This wine is well-balanced, with good balance between sweetness and acidity."
575,Stobasse Druveye Pinot Noir 2012,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine has aromas of dried flowers, blackberries and black cherries forgetting to mention the wine's earthiness. The mouthfeel is full and soft with sweet tannins. slanderant notes of earthiness, vanilla and brown sugar. This is a very elegant wine with a silky mouth feel that is rich and mouthwatering. This wine will cellar well for at least 5 years.  Enjoy this wine now or cellar for the next 2 to 3 years."
576,Bonenake Moltain Tongia Chardonnay 2013,White Wine,Chardonnay,Chile,"Bright yellow with greenish hues.  Nose is clean and fresh with hints of white fruit, with a touch of citrus.  Flavors mirror aromas with good balance between fruit sweetness and acidity.  Pair with shellfish, cream sauces, white meats and medium aged cheeses.  fermentation and aging in oak barrels.  A versatile wine, it can be paired with food in a wide variety of dishes, especially with grilled fish, poultry, white meat dishes with cream sauce, salads with fresh cheeses, pasta dishes with tomatoes and roasted peppers, and pasta dishes with light sauces."
577,Bodega Lavere Cabernet Sauvignon 2006,Red Wine,Cabernet Sauvignon,Chile,"Lavere is a fresh, fruity wine with excellent concentration, great structure and velvety tannins. It is a very versatile wine, perfect with all Mediterranean dishes, and with grilled and roasted vegetables.   of the vineyards in Chile, it can be paired with Mediterranean dishes, white meats, fish, roasted vegetables and chocolate."
578,Ampaina Dos Wines Fill Vineyard Pinot Noir 2006,Red Wine,Pinot Noir,"Willamette Valley, Oregon","In 2006, the Willamette Valley experienced an early budbreak and a relatively cool harvest resulting in wines with high sugar levels, deep color, and very high acidity. This vintage of Fill is a blend of the first two vintages of the 2006 vintage, with the 2006 vintage adding additional complexity. The wine is deep garnet in color and offers intense aromas of cherries, strawberries, and pomegranate, with mineral and floral tones. Flavors mirror aromas with spicy, vanilla, caramel, and a touch of sweet toasty oak. The wine is medium bodied and well-balanced, with a silky mouthfeel and long, juicy finish. It will benefit from 2 to 3 years of cellaring, and drink well now."
579,Montalint Selects Reserve Syrah 2013,Red Wine,Syrah/Shiraz,"Central Coast, California requires decanting","Rich aromas of sweet black cherry, pomegranate, and cedar. On the palate, flavors of blackberry, spice, earth and leather. The mouth feel is smooth with bright acidity and supple tannins., we find the wine's sweet flavors to be balanced by bright acidity. The wine is medium-bodied with nice grip and long finish."
580,Auvinates Cillars Cabernet Sauvignon 1999,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The wine is deep, with dark, ruby-red hues. The nose offers ripe, sweet blackberry and cherry flavors, with a hint of caramel. The mouthfeel is generous, full and generous with ripe, sweet, supple tannins. The finish is long, spicy, with the spicy oak and oak tones coming through."
